2026-04-03 11:35:32.440 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (529ms)
2026-04-03 11:35:32.476 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_login_success | Context: {}
2026-04-03 11:35:33.331 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (846ms)
2026-04-03 11:35:33.381 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_get_info_after_login | Context: {}
2026-04-03 11:35:33.865 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (469ms)
2026-04-03 11:35:33.894 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_full_login_get_info_flow | Context: {}
2026-04-03 11:35:34.337 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (435ms)
2026-04-03 11:35:34.343 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_login_with_wrong_password | Context: {}
2026-04-03 11:35:34.519 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (173ms)
2026-04-03 11:35:34.527 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_get_info_without_token | Context: {}
2026-04-03 11:35:34.935 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (405ms)
2026-04-03 11:35:34.948 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_login_parametrize[admin-admin123] | Context: {}
2026-04-03 11:37:21.881 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (551ms)
2026-04-03 11:37:22.311 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (418ms)
2026-04-03 11:37:22.480 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (169ms)
2026-04-03 11:37:22.904 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (406ms)
2026-04-03 11:37:22.906 | INFO     | business.system_flows:80 - [SystemFlows] 登录成功，token 已注入。user=admin
2026-04-03 11:37:23.075 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (168ms)
2026-04-03 11:37:23.076 | INFO     | business.system_flows:125 - [SystemFlows] getInfo 成功: userId=1, roles=['admin'], permissions_count=1
2026-04-03 11:37:23.530 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (444ms)
2026-04-03 11:37:23.568 | WARNING  | conftest:102 - [conftest] 用例失败: tests/test_system/test_user_login.py::TestUserLogin::test_login_with_nonexistent_user | Context: {}
2026-04-03 11:37:23.587 | DEBUG    | core.request_wrapper:123 - [HTTP] GET http://localhost:1024/dev-api/system/user/getInfo -> 200 (15ms)
2026-04-03 11:37:24.004 | DEBUG    | core.request_wrapper:123 - [HTTP] POST http://localhost:1024/dev-api/auth/login -> 200 (413ms)
