"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","系统管理模块","0","岗位管理","1","0","修改岗位","0"
"0","系统管理模块","0","用户管理","34","0","正常新增用户","0"
"0","系统管理模块","0","通知公告","7","0","获取公告列表","0"
"0","系统管理模块","0","角色管理","1","0","获取角色选择框","0"
"0","系统管理模块","0","用户管理","5","0","业务互斥拦截","0"
"0","系统管理模块","0","岗位管理","6","0","获取岗位列表","0"
"0","系统管理模块","0","权限与组织约束","1","0","部门父子约束","0"
"0","系统管理模块","0","权限与组织约束","1","0","非 admin 权限","0"
"0","系统管理模块","0","部门管理","2","0","鉴权校验","0"
"0","系统管理模块","0","用户管理","3","0","鉴权异常拦截","0"
"0","系统管理模块","0","角色管理","8","0","修改数据权限","0"
"0","系统管理模块","0","用户-岗位-角色业务场景","4","0","业务联调","0"
"0","系统管理模块","0","用户鉴权","3","0","鉴权异常拦截","0"
"0","系统管理模块","0","岗位管理","1","0","获取岗位选择框","0"
"0","系统管理模块","0","部门管理","3","0","新增部门","0"
"0","系统管理模块","0","角色管理","3","0","删除角色","0"
"0","系统管理模块","0","权限与组织约束","1","0","角色菜单权限","0"
"0","系统管理模块","0","用户鉴权","4","0","正常登录流程","0"
"0","系统管理模块","0","角色管理","4","0","获取角色列表","0"
"0","系统管理模块","0","用户管理","2","0","正常修改用户","0"
"0","系统管理模块","0","角色管理","3","0","新增角色","0"
"0","系统管理模块","0","通知公告","3","0","删除公告","0"
"0","系统管理模块","0","部门管理","3","0","获取部门列表","0"
"0","系统管理模块","0","角色管理","2","0","未分配用户列表","0"
"0","系统管理模块","0","端到端业务流（BIZ-001~010）","2","0","岗位管理","0"
"0","系统管理模块","0","通知公告","1","0","鉴权校验","0"
"0","系统管理模块","0","通知公告","2","0","获取公告详情","0"
"0","系统管理模块","0","端到端业务流（BIZ-001~010）","1","0","用户管理","0"
"0","系统管理模块","0","岗位管理","3","0","新增岗位","0"
"0","系统管理模块","0","通知公告","2","0","新增公告","0"
"0","系统管理模块","0","岗位管理","1","0","鉴权校验","0"
"0","系统管理模块","0","部门管理","1","0","获取部门详情","0"
"0","系统管理模块","0","角色管理","3","0","已分配用户列表","0"
"0","系统管理模块","0","角色管理","4","0","鉴权校验","0"
"0","系统管理模块","0","端到端业务流（BIZ-001~010）","1","0","公告管理","0"
"0","系统管理模块","0","端到端业务流（BIZ-001~010）","4","0","角色管理","0"
"0","系统管理模块","0","角色管理","1","0","获取角色详情","0"
"0","系统管理模块","0","部门管理","1","0","修改部门","0"
"0","系统管理模块","0","用户管理","1","0","异常场景拦截","0"
"0","系统管理模块","0","岗位管理","1","0","获取岗位详情","0"
"0","系统管理模块","0","角色管理","2","0","角色状态修改","0"
"0","系统管理模块","0","端到端业务流（BIZ-001~010）","1","0","部门管理","0"
"0","系统管理模块","0","用户管理","2","0","正常删除用户","0"
"0","系统管理模块","0","端到端业务流（BIZ-001~010）","1","0","鉴权防护","0"
"0","系统管理模块","0","部门管理","1","0","删除部门","0"
"0","系统管理模块","0","岗位管理","3","0","删除岗位","0"
"0","系统管理模块","0","权限与组织约束","1","0","用户状态","0"
"0","系统管理模块","0","角色管理","1","0","修改角色","0"
"0","系统管理模块","0","权限与组织约束","1","0","数据权限","0"
"0","系统管理模块","0","通知公告","1","0","修改公告","0"
