"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        完整正向链路：
        1. 新增测试岗位；
        2. 通过 postCode 查 post_id；
        3. 修改 postName 与 remark，断言 code==200；
        4. 再次查详情确认修改生效。
        ","338","TC-SYS-PST-015：新增→查详情→修改→再查岗位，断言 code==200 且修改后字段生效","tests.test_system","2026-04-28","passed","2026-04-28","TestPostCrud","test_post_crud","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","350","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","167","TC-SYS-NTC-003：按 noticeType='1' 查询，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"
        调用 optionselect 接口，断言:
        - 响应 code == 200
        - data 字段为列表类型且非空
        ","227","TC-SYS-ROL-006：获取角色选择框列表，断言 code==200 且 data 为列表","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleList","test_role_list","",""
"","166","TC-SYS-NTC-005：按 status='0' 查询，断言每条 status 为 0","tests.test_system","2026-04-28","passed","2026-04-28","TestNoticeList","test_notice_list","",""
"
        从 sys_user 表查询已存在的 user_name，直接尝试新增同名用户，断言:
        - code == 500
        - msg 包含""登录账号已存在""
        ","196","TC-SYS-USR-003：重复用户名新增，code==500 且提示登录账号已存在","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        传入 status=""0""，断言:
        - 响应 code == 200
        - rows 中每条记录的 status 字段为 ""0""
        ","176","TC-SYS-PST-005：按 status='0' 查询正常状态岗位，断言每条 status 均为正常","tests.test_system","2026-04-28","passed","2026-04-28","TestPostList","test_post_list","",""
"","377","TC-SYS-RBAC-005：父部门存在子部门时删除父部门应失败","tests.test_system","2026-04-28","passed","2026-04-28","TestPermissionRbac","test_permission_rbac","",""
"","599","TC-SYS-RBAC-001：低权限用户访问用户列表应被拒绝","tests.test_system","2026-04-28","passed","2026-04-28","TestPermissionRbac","test_permission_rbac","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","322","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","325","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        不注入 Token 直接调用列表接口，断言:
        - 响应 code != 200（通常为 401）
        ","27","TC-SYS-DPT-004：未携带 Token 获取部门列表，断言被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestDeptList","test_dept_list","",""
"
        不注入 Token，直接调用 update_user，断言:
        - code 不为 200
        - msg 包含鉴权相关关键词
        ","37","TC-SYS-UPD-005：未携带 Token 修改用户，应被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestUpdateUser","test_update_user","",""
"
        对 dataScope 1~5 逐一验证（数据驱动）：
        - dataScope=""2""（自定义）不传 deptIds，服务端按空部门处理。
        - 断言每种枚举 code==200。
        ","305","TC-SYS-ROL-023：数据驱动—dataScope 枚举 1~5 均可修改成功","tests.test_system","2026-04-28","passed","2026-04-28","TestRoleDataScope","test_role_data_scope_status","",""
"
        数据驱动：固定二级部门（101/102），从库中随机取一条三级子部门 dept_id 传给接口，
        断言 code==200。二级下无三级子部门时自动 skip。
        ","310","TC-SYS-USR-007：数据驱动 - 固定二级部门 101/102，三级随机，均可新增用户成功","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"
        roleIds/postIds：可全不选（[]）、部分选（库中至少 2 条时仅传首条）、
        全选（全部可用 id）。显式传列表以覆盖 YAML 模板占位 roleIds/postIds [0]。
        ","313","TC-SYS-USR-009：roleIds/postIds — role=all, post=all，断言 code==200","tests.test_system","2026-04-28","passed","2026-04-28","TestAddUser","test_add_user","",""
"","732","TC-SYS-FLW-004：已绑定用户的角色删除被拦截（已分配不能删），关联仍存在；删用户并清理关联后可删角色","tests.test_system","2026-04-28","passed","2026-04-28","TestUserPostRoleBusinessFlow","test_user_post_role_business_flow","",""
"
        不调用登录、不设置 token，直接请求 getInfo，断言:
        - 响应 code 不为 200（实际返回 401 或业务异常码）
        - 响应 msg 包含""令牌""、""登录""、""认证""或""token""相关提示
        ","13","TC-SYS-005：不携带 Token 直接调用 getInfo，应被鉴权拦截","tests.test_system","2026-04-28","passed","2026-04-28","TestUserLogin","test_user_login","",""
